site,timeslice,temperature,proxy,lat,lon,mlat,mlon,plat,plon,5,50,95,sd,mean minus reported error,mean plus reported error,deepmip lower error,deepmip upper error,min,max,v1,v2,v3,v4,v5,v6
midwaipara,eeco,sst,mgca,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,23.06,27.1,30.63,3.1,-999.9,-999.9,23.06,30.63,18.35,34.11,1,1,1,1,1,0
midwaipara,eeco,sst,tex86,-43.06,172.61,-54.88,-160.24,-46.26,-161.19,28.26,34.46,43.47,1.41,-999.9,-999.9,28.26,43.47,25.87,45.45,1,1,0,1,1,0
midwaipara,petm,lat,mbtcbt,-43.1,172.7,-56.84,-158.08,-47.54,-158.36,19.84,21.16,22.49,2.09,19.69,22.64,19.69,22.64,19.69,22.64,1,1,1,0,1,0
midwaipara,petm,sst,tex86,-43.06,172.61,-56.82,-158.25,-47.52,-158.5,30.69,37.16,46.94,1.86,-999.9,-999.9,30.69,46.94,29.55,48.61,1,1,0,1,1,0
millville,lp,sst,del18O,39.24,-75.05,41.8,-58.29,34.79,-46.51,20.63,23.4,25.82,2.13,-999.9,-999.9,20.63,25.82,20.44,27.02,1,1,1,1,1,1
millville,petm,sst,del18O,39.24,-75.05,41.8,-58.29,34.79,-46.51,25.29,28.06,31.68,2.13,-999.9,-999.9,25.29,31.68,24.75,35.35,1,1,1,1,1,1
Mountain Boy,eeco,lat,mbtcbt,39.66,-120.95,45.43,-108.29,45.35,-92.94,-999.9,7.8,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,-999.9,1,1,1,0,1,1
odp 1172,eeco,lat,mbtcbt,-43.57,149.55,-68.31,160.06,-58.38,167.11,21.39,21.95,22.55,0.42,21.55,22.35,21.55,22.35,21.23,22.72,1,1,1,0,1,0
odp 1172,eeco,sst,tex86,-43.58,149.56,-68.31,160.09,-58.38,167.13,25.9,32.76,41.23,1.79,-999.9,-999.9,25.9,41.23,20.23,43.58,1,1,0,1,1,0
odp 1172,lp,sst,tex86,-43.58,149.56,-69.46,159.91,-59.25,169.56,18.96,25.48,32.15,1.14,-999.9,-999.9,18.96,32.15,16.99,35.1,1,1,0,1,1,0
